这个手环刚开始没听说过，是看到别人带的，发现居然可以当蓝牙耳机用，感觉很方便，又能跟iphone配对使用.所以买了一个.手环带着很舒服，表带的贴合感很好，屏幕分辨率也行，看着色彩不错.配合手机APP可以设定10个常用联系人，可以监测心率等等，这些功能都很实用，最主要的是可以当蓝牙耳机用，非常好.这个手环的大小比较适合男生.2019-07-30 21:38:56
看到官网推荐，因为经常运动，突然一下就想买了，后来就买了，还是不错的不错的运动手环，挺智能的，给我很大的帮助是有时候不需要拿手机，直接用手环接电话就行，方便好用，京东上也非常的快，不错(*?&acute;╰╯`?)?华为厉害(? &bull;?_&bull;?)?，我也算一位华为资深用户了，不错，大爱华为产品，也大爱京东优质的平台服务，二者相得益彰。2019-09-10 10:51:39
之前是果粉，但是我有颗爱国的心，这几年华为发展的越来越好！马上又有自己的系统了，这会把全系苹果手机换成了P30 pro和华为B5。支持国货支持华为，不得不说现在华为真的很让人惊艳，以后就是你了。
华为手环缺点，屏幕的功能略微单一，其他真的都很好。2019-08-10 09:53:52
年底了，能在下单后第二天收到货，给京东快递点赞。简单说下产品：1.接听或拨打电话时，取下手环能自动转到蓝牙。2.能连接两部手机。3.抬腕亮很灵敏。4.APP操作很简单。2019-01-29 22:57:32
非常不错，很时尚，特别是来电接听功能，很是强大，很好用，电池也挺好的，正常能够使用三天。推荐给同事，同学，朋友，领导等等。。。。。。。。。。。。。。。。。。，。。欢迎网友们采购，京东物流非常给力，第二天就到了2019-03-21 15:39:35
真的是太棒了太棒了，没有见过如此厉害，先进的手表了，待机时间特别长，早晨的闹铃也不用担心吵到女朋友，真的是良心产品。第二次购买了，送朋友送长辈的好产品，倍有面子。贼拉拉的爱上了华为。。。好。还会再来的。2019-08-20 21:23:04
华为B5手环宝贝收到啦，种草很久了，趁这次活动八百七十多入手了，还用了京豆优惠不少，快递小哥服务很好送到了小区楼下，韵律黑的手环外观还是很不错的大气成熟，上手操作也很容易，连接上蓝牙就可以了，可以监控心率和步数等，让平常的小运动也可以量化了，很方便。2019-07-04 19:18:29
本人老头是位职业司机，每天除了睡觉，几乎都在车里过，车里有领导接电话不方便，所以挑选很久，还是支持国货，选了华为这款手表，多功能，又是手表，又是蓝牙耳机，特意试用一下，耳机声音绝对够大。好用，他很喜欢2019-08-30 21:27:31
体验一天来评价评价，这款带起来很大气，颜值很高，主要功能比较强大，开车蓝牙正需要，耗电少，用了一天，电量还很足，通话清晰，触屏灵敏，整体不错2018-12-20 22:59:55
真心不错，华为手环，功能全，心率，压力测试，记步，睡眠都有，主要是带蓝牙耳机不用带耳机了，经常忘了，屏幕也很清晰，表带也很舒服2018-07-20 11:43:34
做工精致，外形时尚漂亮，细节考究。金属材质和塑料材质结合的恰到好处。 彩色屏幕，颜色很漂亮，屏幕尺寸大，可以看到的内容很多。 蓝牙连接信号稳定。蓝牙通话很好，音质清晰。 手机APP体验非常好，华为运动健康APP是我用过功能最全的手环APP，操作简单易懂，与手环配合使用非常完美，用起来很省心。2019-03-12 22:54:48
当时蓝牙耳机丢了，而且是第二个。所以决心买一个这个试一试，把手表替代了。开始没有手表，这个感觉比较low，但是用了之后超级好用，现在后悔买这个了，想买999的那个'b5，高端很多。2018-10-18 17:57:15
第一，包装精美，第二，蓝牙耳机通话质量也很好，声音很大，也很清楚，第三，做工细致2019-04-30 21:36:46
使用了一段时间才来评价，真心不错，功能全，能测心率、压力、计步、睡眠等功能。主要还带有蓝牙功能，出门、开车不用带耳机了，屏幕也清晰，表带也很舒服?2019-06-15 21:12:24
很方便，上午买，下午就到了。迫不及待的带上试了试，完美！观察了很久，终于买了2019-09-29 17:27:10
刚开始用，简单试了一下功能，都可以，整体很满意，值得拥有，最简单的道理，你买个好一点的蓝牙耳机得多少钱，这个多少钱，物流还超快，不错2019-06-02 19:17:20
使用过华为的B2、B3青春版，非常好用，电话不漏接，开车也能接。B3手环前段时间泡水坏了，这次搞活动价格优惠就买个高大上的B5，彩屏，金属表带，音质清晰。赞一个！2019-04-13 22:11:37
支持国货，华为，中国的骄傲，颜值高，耗电少，通话清晰，触屏灵敏，做工精致，外形时尚，信号稳定，完美配合，简单易懂，能测心率 压力 计步 睡眠，还支持蓝牙，出门，开车都不用带手机啦，黑色的很大气的感觉，京东快递也是一流，上午下的单下午就到了，果然自营的就是快，还会继续过来回购的2019-09-26 16:32:04
用了几天后才过来评价的，韵律黑带上简单大气，计步很准确，也可以检测睡眠，心率等等，接打电话也方便了许多，易操作，原来每天跑步都要拿着手机非常不方便，现在有了这款收环，方便了许多，支持华为，强我中华2019-07-18 08:37:16
心仪已久，终于入手。先用着不错，待机时间啥的有待观察，总体很满意。2019-06-19 22:21:40
彩屏健康手环，腕上蓝牙耳机。

华为手环B5正面采用1.13英寸的AMOLED彩色屏幕，材质为2.5D弧面玻璃，分辨率为300&times;160。手环内置加速度传感器，陀螺仪，心率传感器，霍尔传感器。手环防水级别为IP57，支持蓝牙4.2传输协议，充电口类型为Micro USB，续航约为3.5天。用起来很不错，尤其是开车接电话。2019-07-13 22:26:22
佩戴舒适 不捂汗，外形时尚大气，选的白灰色 感觉比较适合女生。
易操作 第一次佩戴手环 感觉很好！2019-06-01 13:26:36
很负责任的用了几天才来评论的。我的郑重声明下，快递太快了，半夜零时下的单，下午四点就到了，强烈提出表扬！另外再说下小3，电量还是不错的，三天没问题。功能简单实用，通话清晰。音质只能说还好，别想着立体声，重低音之类的要求，对于这个价格就不要奢求了。简单说就是物美价廉！给予五星半表扬！！多出来的是给快递的！！很赞！！2019-07-02 14:18:20
用了段时间再来评价，感觉不错，可拆卸下来当耳机，很方便。链接运动健康，监测心率，久坐提醒，功能多多，推荐！2019-04-01 22:22:47
装备?很好的，特别是蓝牙功能很方便，表带很高级。反正十分满意，点赞2019-09-26 16:06:38
这个手环想买了很久，之前是b3， 听说b5要出来了一直在等，首次预购就抢到了，价格亲民，今天早上到货上手之后，本身是华为p20pro忠粉，蓝牙耳机切换迅速，消息接受及时，样子大气，美观，反应灵敏，彩屏的却比b3的黑白屏高大上，和华为的emui配合简直完美，连接简单。带上去轻便自然，自带两副耳塞，没有像小米手环一样的束缚感，刚上手，不知道耗电和睡眠及压力感应如何，等后续再说；缺点也有，1.运动版的表链是运动塑料的没有铁表链好看，想买没有货；2.没有自带的充电头，现有的充电头都是快充，功率大，不知道会不会有影响。总之，乐享爵士人生，快乐就在当下。有什么疑问都可以问我?2018-07-21 11:51:24
很方便，就是价格高了点，蓝牙耳机实用，声音清晰，颜值也高，时间，日历步数，心率，压力，蓝牙耳机，还有个实时天气，意料之外的是在车上用手机放音乐，耳机还是连接的，来电话耳机可以接听，感觉是一个手机连了两个蓝牙，非常棒2019-07-26 21:46:05
给娃她爹买的，主要看中了可以方便的拆下来当蓝牙耳机的功能。适合随身携带，还有记步数的功能。来电话的时候把耳机拿下来就直接变成蓝牙耳机通话了，平时还可以通过手机接听电话。很方便。2018-10-22 20:38:13
刚刚收到。第一感觉就是包装大气上档次！手环做工很精细，金属面光滑，OLED屏幕看起来很高端。尺寸也刚刚好。待使用后再补充。支持华为！2019-05-22 18:04:25
手环非常漂亮实用方便。开车接电话不用担心了。正好能检测我的身体健康状况，睡眠，心律，这就是我所需的，适合自己的就是最好的，大爱??2018-12-20 11:37:46
第二次购买了。很方便的手环，功能挺多，有些也很实用。蓝色很好看，大气。很商务。就是表盘的金色有些突兀。可摘蓝牙主机，接电话很方便，听音乐也不错。除了硅胶套很容易粘灰不好，真希望可以改进。随机还配有备用耳机套。数据线，说明书。外盒很高大上。哈哈o(&cap;_&cap;)o2019-02-21 08:58:39
之前一直用的b3，开车时觉得非常非常的方便，超级实用，谁用谁知道！很喜欢，但就是觉得b3屏幕太小气了，那么一点点，这次升级版b5出来，大屏又是彩屏，弥补了b3的不足，第一时间入手，非常满意，特别喜欢这个桌面，赞?2018-07-19 18:29:46
