price,name,store,link,brand,sku_id
229.0,小米,小米京东自营旗舰店,//item.jd.com/100003687193.html,小米,100003687193
169.0,小米,小米京东自营旗舰店,//item.jd.com/100006188596.html,小米,100006188596
189.0,荣耀,荣耀京东自营旗舰店,//item.jd.com/100006756254.html,荣耀,100006756254
219.0,荣耀,荣耀京东自营旗舰店,//item.jd.com/100006756282.html,荣耀,100006756282
269.0,华为,华为京东自营官方旗舰店,//item.jd.com/100003822240.html,华为,100003822240
898.0,华为,华为京东自营官方旗舰店,//item.jd.com/100006360444.html,华为,100006360444
229.0,【自营仓】小米（MI）,圆讯优选旗舰店,//item.jd.com/26301985127.html,小米,26301985127
179.0,荣耀,荣耀京东自营旗舰店,//item.jd.com/100000018890.html,荣耀,100000018890
169.0,小米,小米京东自营旗舰店,//item.jd.com/7545792.html,小米,7545792
399.0,小米 米兔儿童电话手表2 学生运动,小米京东自营旗舰店,//item.jd.com/4279279.html,小米,4279279
1188.0,华为手表WATCH GT 运动智能手表男女 成人心率睡眠检测2周续航防水NFC蓝牙,华为澳先专卖店,//item.jd.com/35162573913.html,华为,35162573913
199.0,小米,小米京东自营旗舰店,//item.jd.com/100000383225.html,小米,100000383225
109.0,华为,华为京东自营官方旗舰店,//item.jd.com/100002285538.html,华为,100002285538
1388.0,【领券直降】华为智能手表WATCH GT 两周续航 户外运动,华为沃德专营店,//item.jd.com/34751132184.html,华为,34751132184
169.0,Keep 运动智能,Keep智能运动京东自营旗舰店,//item.jd.com/100004601380.html,Keep,100004601380
2488.0,华为电话手表WATCH2 智能手表男女成人初中高中学生4G插卡蓝牙穿戴GT运动,华为卓瑞尔专卖店,//item.jd.com/28938922242.html,华为,28938922242
899.0,【直降100元】华为,华为卓瑞尔专卖店,//item.jd.com/29997056215.html,华为,29997056215
379.0,【咨询领券】华为,秒通数码专营店,//item.jd.com/43227512448.html,华为,43227512448
888.0,【限时直降100】华为儿童电话手表3pro学生GPS定位防水智能手表4G全网通视频通话男女孩礼物,秒通数码专营店,//item.jd.com/27187085375.html,华为,27187085375
1188.0,【直降100元】华为手表WATCH GT智能手表男女成人蓝牙穿戴运动,华为卓瑞尔专卖店,//item.jd.com/35157169282.html,华为,35157169282
1099.0,【限时直降100】华为,秒通数码专营店,//item.jd.com/30241014257.html,华为,30241014257
99.0,荣耀,荣耀京东自营旗舰店,//item.jd.com/100000101418.html,荣耀,100000101418
1299.0,脉迹mystrace 心血管健康监测智能,脉迹（mystrace）京东自营旗舰店,//item.jd.com/100003436905.html,脉迹,100003436905
449.0,华为,华为卓瑞尔专卖店,//item.jd.com/35670020152.html,华为,35670020152
699.0,华为荣耀智能手表Watch Magic运动,千百回智能专营店,//item.jd.com/12615251692.html,荣耀,12615251692
398.0,特兰恩（Tralean） 智能,精选贸易数码专营店,//item.jd.com/56272799350.html,特兰恩,56272799350
229.0,小米（MI） 小米,圆迈智能旗舰店,//item.jd.com/50038177034.html,小米,50038177034
129.0,乐心,乐心京东自营官方旗舰店,//item.jd.com/100000731746.html,乐心,100000731746
1188.0,【送皮+钢表带】华为手表watch gt运动智能手表蓝牙心率睡眠监测防水2周续航NFC支付,秒通数码专营店,//item.jd.com/26400516161.html,华为,26400516161
1188.0,【领券减100】华为智能手表Watch GT蓝牙无线心率监测智能穿戴计步器2周续航支付,屹林智能专营店,//item.jd.com/35322284851.html,华为,35322284851
